code,name,work_category,catalog_category,interval_km,interval_months
OIL_SERVICE,Motorno ulje i filtar ulja - kompletna izmjena,MAINTENANCE,REGULAR_MAINTENANCE,15000,12
AIR_FILTER,Zamjena filtra zraka motora,MAINTENANCE,REGULAR_MAINTENANCE,30000,24
CABIN_FILTER,Zamjena filtra kabine,MAINTENANCE,REGULAR_MAINTENANCE,15000,12
FUEL_FILTER,Zamjena filtra goriva,MAINTENANCE,REGULAR_MAINTENANCE,30000,24
BRAKE_FLUID,Izmjena kočione tekućine,MAINTENANCE,REGULAR_MAINTENANCE,,24
COOLANT,Izmjena rashladne tekućine motora,MAINTENANCE,REGULAR_MAINTENANCE,60000,48
TIMING_BELT_PUMP,"Zupčasti remen, natezači i vodena pumpa",MAINTENANCE,MAJOR_SERVICE,100000,60
SPARK_PLUGS,Zamjena kompleta svjećica,MAINTENANCE,MAJOR_SERVICE,45000,36
AUX_BELT,Pomoćni remen i natezač,MAINTENANCE,MAJOR_SERVICE,60000,48
MANUAL_GEARBOX_OIL,Izmjena ulja ručnog mjenjača,MAINTENANCE,MAJOR_SERVICE,60000,60
AUTO_GEARBOX_OIL,Servis ulja automatskog mjenjača,MAINTENANCE,MAJOR_SERVICE,60000,48
FRONT_BRAKES,Prednje kočione pločice - par kotača,REPAIR,BRAKES,,
REAR_BRAKES,Stražnje kočione pločice - par kotača,REPAIR,BRAKES,,
FRONT_DISCS_PADS,Prednji diskovi i pločice - par kotača,REPAIR,BRAKES,,
REAR_DISCS_PADS,Stražnji diskovi i pločice - par kotača,REPAIR,BRAKES,,
REAR_DRUM_SHOES,Stražnje kočione pakne - par kotača,REPAIR,BRAKES,,
AC_COMPRESSOR,Zamjena kompresora klime,REPAIR,CLIMATE_COOLING,,
RADIATOR_FAN,Zamjena ventilatora hladnjaka,REPAIR,CLIMATE_COOLING,,
AC_R134A,Servis klime R134a,REPAIR,CLIMATE_COOLING,,
AC_R1234YF,Servis klime R1234yf,REPAIR,CLIMATE_COOLING,,
BATTERY,Zamjena 12 V akumulatora,REPAIR,ELECTRICAL,,
GLOW_PLUGS,Zamjena kompleta grijača dizela,REPAIR,ENGINE,,
DIAGNOSIS,Osnovno očitanje OBD kodova,REPAIR,DIAGNOSTICS,,
STARTER,Zamjena elektropokretača,REPAIR,ELECTRICAL,,
ALTERNATOR,Zamjena alternatora,REPAIR,ELECTRICAL,,
TURBO,Zamjena jednog turbopunjača,REPAIR,ENGINE,,
EGR_VALVE,Zamjena EGR ventila,REPAIR,EXHAUST_EMISSIONS,,
DPF_CLEAN,"Demontaža, čišćenje i montaža DPF-a",REPAIR,EXHAUST_EMISSIONS,,
DPF_REPLACEMENT,Zamjena DPF filtra,REPAIR,EXHAUST_EMISSIONS,,
DIESEL_INJECTOR,Zamjena jedne dizelske brizgaljke,REPAIR,ENGINE,,
IGNITION_COIL,Zamjena jedne bobine,REPAIR,ELECTRICAL,,
WHEEL_BEARING,Zamjena jednog ležaja kotača,REPAIR,TYRES_WHEELS,,
FRONT_SHOCKS,Prednji amortizeri - par,REPAIR,SUSPENSION_STEERING,,
