work_code,price_class,min_price_eur,max_price_eur,source_method
OIL_SERVICE,ECONOMY,90,130,HR_CALIBRATED_OLD_MODEL_RATIO
OIL_SERVICE,STANDARD,90,130,HR_CALIBRATED_OLD_MODEL_RATIO
OIL_SERVICE,PREMIUM,120,160,HR_CALIBRATED_OLD_MODEL_RATIO
OIL_SERVICE,PERFORMANCE,160,200,HR_CALIBRATED_OLD_MODEL_RATIO
OIL_SERVICE,EXOTIC,290,350,HR_CALIBRATED_OLD_MODEL_RATIO
AIR_FILTER,ECONOMY,30,50,HR_CALIBRATED_OLD_MODEL_RATIO
AIR_FILTER,STANDARD,30,50,HR_CALIBRATED_OLD_MODEL_RATIO
AIR_FILTER,PREMIUM,45,75,HR_CALIBRATED_OLD_MODEL_RATIO
AIR_FILTER,PERFORMANCE,75,100,HR_CALIBRATED_OLD_MODEL_RATIO
AIR_FILTER,EXOTIC,170,210,HR_CALIBRATED_OLD_MODEL_RATIO
CABIN_FILTER,ECONOMY,20,40,HR_CALIBRATED_OLD_MODEL_RATIO
CABIN_FILTER,STANDARD,20,40,HR_CALIBRATED_OLD_MODEL_RATIO
CABIN_FILTER,PREMIUM,30,50,HR_CALIBRATED_OLD_MODEL_RATIO
CABIN_FILTER,PERFORMANCE,35,55,HR_CALIBRATED_OLD_MODEL_RATIO
CABIN_FILTER,EXOTIC,70,100,HR_CALIBRATED_OLD_MODEL_RATIO
FUEL_FILTER,ECONOMY,40,70,HR_CALIBRATED_OLD_MODEL_RATIO
FUEL_FILTER,STANDARD,45,75,HR_CALIBRATED_OLD_MODEL_RATIO
FUEL_FILTER,PREMIUM,65,95,HR_CALIBRATED_OLD_MODEL_RATIO
FUEL_FILTER,PERFORMANCE,100,140,HR_CALIBRATED_OLD_MODEL_RATIO
FUEL_FILTER,EXOTIC,220,280,HR_CALIBRATED_OLD_MODEL_RATIO
BRAKE_FLUID,ECONOMY,35,65,HR_CALIBRATED_OLD_MODEL_RATIO
BRAKE_FLUID,STANDARD,35,65,HR_CALIBRATED_OLD_MODEL_RATIO
BRAKE_FLUID,PREMIUM,45,75,HR_CALIBRATED_OLD_MODEL_RATIO
BRAKE_FLUID,PERFORMANCE,45,75,HR_CALIBRATED_OLD_MODEL_RATIO
BRAKE_FLUID,EXOTIC,50,80,HR_CALIBRATED_OLD_MODEL_RATIO
