entity_before,entity_after,table_before,table_after,field_before,field_after,column_before,column_after
User,AppUser,app_user,AppUser,id,id,id,id
User,AppUser,app_user,AppUser,version,version,version,version
User,AppUser,app_user,AppUser,name,name,name,name
User,AppUser,app_user,AppUser,email,email,email,email
User,AppUser,app_user,AppUser,passwordHash,passwordHash,password_hash,passwordHash
User,AppUser,app_user,AppUser,activeVehicle,activeVehicle,active_vehicle_id,activeVehicle_id
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,id,id,id,id
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,code,code,code,code
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,make,make,make,make
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,model,model,model,model
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,generation,generation,generation,generation
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,engineLabel,engineLabel,engine_label,engineLabel
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,bodyType,bodyType,body_type,bodyType
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,fuelType,fuelType,fuel_type,fuelType
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,powerHp,powerHp,power_hp,powerHp
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,transmission,transmission,transmission,transmission
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,yearFrom,yearFrom,year_from,yearFrom
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,yearTo,yearTo,year_to,yearTo
VehicleVariant,VehicleVariant,vehicle_variant,VehicleVariant,imagePath,imagePath,image_path,imagePath
Vehicle,Vehicle,vehicle,Vehicle,id,id,id,id
Vehicle,Vehicle,vehicle,Vehicle,version,version,version,version
Vehicle,Vehicle,vehicle,Vehicle,owner,owner,owner_id,owner_id
Vehicle,Vehicle,vehicle,Vehicle,variant,variant,variant_id,variant_id
Vehicle,Vehicle,vehicle,Vehicle,year,productionYear,production_year,productionYear
Vehicle,Vehicle,vehicle,Vehicle,currentMileage,currentMileage,current_mileage,currentMileage
WorkDefinition,WorkDefinition,work_definition,WorkDefinition,id,id,id,id
WorkDefinition,WorkDefinition,work_definition,WorkDefinition,code,code,code,code
WorkDefinition,WorkDefinition,work_definition,WorkDefinition,name,name,name,name
WorkDefinition,WorkDefinition,work_definition,WorkDefinition,category,category,category,category
WorkDefinition,WorkDefinition,work_definition,WorkDefinition,defaultEstimatedPrice,defaultEstimatedPrice,default_estimated_price,defaultEstimatedPrice
WorkDefinition,WorkDefinition,work_definition,WorkDefinition,estimateNote,estimateNote,estimate_note,estimateNote
VehicleWorkRule,VehicleWorkRule,vehicle_work_rule,VehicleWorkRule,id,id,id,id
VehicleWorkRule,VehicleWorkRule,vehicle_work_rule,VehicleWorkRule,variant,variant,variant_id,variant_id
VehicleWorkRule,VehicleWorkRule,vehicle_work_rule,VehicleWorkRule,work,work,work_id,work_id
