make,model,generation,reason
Audi,E5,E5 Sportback (2025),NO_ENGINE_VARIANT
Audi,Q4 e-tron,Q4 e-tron (2026),NO_ENGINE_VARIANT
Bentley,State Limousine,,NO_GENERATIONS
Bestune,B70,,NO_GENERATIONS
Bestune,T55,,NO_GENERATIONS
Bestune,T77,,NO_GENERATIONS
Bestune,T99,,NO_GENERATIONS
Brilliance,H230,,NO_GENERATIONS
Brilliance,H330,,NO_GENERATIONS
Brilliance,H530,,NO_GENERATIONS
Brilliance,V3,,NO_GENERATIONS
Brilliance,V5,,NO_GENERATIONS
Brilliance,V7,,NO_GENERATIONS
Bugatti,Brouillard,Brouillard (2025),NO_ENGINE_VARIANT
Bugatti,Type 5,,NO_GENERATIONS
Bugatti,Type 64,,NO_GENERATIONS
Buick,Model 26,,NO_GENERATIONS
Buick,Model 27,,NO_GENERATIONS
Buick,Model 32,,NO_GENERATIONS
Buick,Model 33,,NO_GENERATIONS
Buick,Model 38,,NO_GENERATIONS
Buick,Model 39,,NO_GENERATIONS
Buick,Model 41,,NO_GENERATIONS
Buick,Model C,,NO_GENERATIONS
Cadillac,XT6,XT6 (2019),NO_ENGINE_VARIANT
Changan,Alsvin,,NO_GENERATIONS
Changan,CS15,,NO_GENERATIONS
Changan,CS35,,NO_GENERATIONS
Changan,CS55,,NO_GENERATIONS
Changan,CS75,,NO_GENERATIONS
Changan,CS85,,NO_GENERATIONS
Changan,CS95,,NO_GENERATIONS
Changan,Eado,,NO_GENERATIONS
Changan,Hunter,,NO_GENERATIONS
Changan,UNI-K,,NO_GENERATIONS
Changan,UNI-T,,NO_GENERATIONS
Changan,UNI-V,,NO_GENERATIONS
Chevrolet,Corvette E-Ray,Corvette E-Ray (2023),NO_ENGINE_VARIANT
Chevrolet,Corvette Grand Sport X,,NO_GENERATIONS
Cupra,Born,Born (2026),NO_ENGINE_VARIANT
Dacia,Striker,Striker (2026),NO_ENGINE_VARIANT
Datsun,GO+,GO+ (2018),NO_ENGINE_VARIANT
Dongfeng,AX7,,NO_GENERATIONS
Dongfeng,Fengon 500,,NO_GENERATIONS
Dongfeng,Fengon 580,,NO_GENERATIONS
Dongfeng,Rich 6,,NO_GENERATIONS
Dongfeng,T5 Evo,,NO_GENERATIONS
El Nasr,128,,NO_GENERATIONS
El Nasr,1300,,NO_GENERATIONS
El Nasr,133,,NO_GENERATIONS
El Nasr,1500,,NO_GENERATIONS
El Nasr,Dogan,,NO_GENERATIONS
El Nasr,Florida,,NO_GENERATIONS
El Nasr,Nasr Jeep,,NO_GENERATIONS
El Nasr,Polonez,,NO_GENERATIONS
El Nasr,Shahin,,NO_GENERATIONS
Fiat,3 1/2 HP,,NO_GENERATIONS
Fiat,Argo,,NO_GENERATIONS
Ford,Ranger Tremor,Ranger Tremor (2023),NO_ENGINE_VARIANT
Ford,Tourneo,Tourneo (2018),NO_ENGINE_VARIANT
Foton,Sauvana,,NO_GENERATIONS
Foton,Tunland,,NO_GENERATIONS
Foton,View,,NO_GENERATIONS
GAC,Aion S,,NO_GENERATIONS
GAC,Aion V,,NO_GENERATIONS
GAC,Aion Y,,NO_GENERATIONS
GAC,Emkoo,,NO_GENERATIONS
GAC,Emzoom,,NO_GENERATIONS
GAC,GA4,,NO_GENERATIONS
GAC,GA6,,NO_GENERATIONS
GAC,GN6,,NO_GENERATIONS
GAC,GS3,,NO_GENERATIONS
GAC,GS4,,NO_GENERATIONS
GAC,GS8,,NO_GENERATIONS
GAZ,Gazelle,,NO_GENERATIONS
GAZ,Sobol,,NO_GENERATIONS
GAZ,Volga,,NO_GENERATIONS
Geely,Galaxy,Galaxy (2023),NO_ENGINE_VARIANT
Geely,Galaxy M9,Galaxy M9 (2025),NO_ENGINE_VARIANT
Genesis,GV80,GV80 Coupe (2023),NO_ENGINE_VARIANT
Great Wall,Poer,,NO_GENERATIONS
Great Wall,Steed,,NO_GENERATIONS
Great Wall,Voleex C30,,NO_GENERATIONS
Great Wall,Wingle,,NO_GENERATIONS
Haval,Dargo,,NO_GENERATIONS
Haval,F7,,NO_GENERATIONS
Haval,F7x,,NO_GENERATIONS
Haval,H2,,NO_GENERATIONS
Haval,H6,,NO_GENERATIONS
Haval,H9,,NO_GENERATIONS
Haval,Jolion,,NO_GENERATIONS
Honda,Ridgeline,Ridgeline (2021),NO_ENGINE_VARIANT
Hongqi,E-HS9,,NO_GENERATIONS
Hongqi,H5,,NO_GENERATIONS
Hongqi,H9,,NO_GENERATIONS
Hongqi,HS5,,NO_GENERATIONS
Hongqi,HS7,,NO_GENERATIONS
Hyundai,Bayon,Bayon (2024),NO_ENGINE_VARIANT
Hyundai,Elantra N,Elantra N (2020),NO_ENGINE_VARIANT
Hyundai,Grandeur / Azera,Grandeur / Azera (2022),NO_ENGINE_VARIANT
Hyundai,i30,i30 Fastback (2024),NO_ENGINE_VARIANT
Hyundai,Ioniq 6,Ioniq 6 (2025),NO_ENGINE_VARIANT
Hyundai,Staria,Staria (2021),NO_ENGINE_VARIANT
Infiniti,QX65,QX65 (2026),NO_ENGINE_VARIANT
Iran Khodro,Dena,,NO_GENERATIONS
Iran Khodro,Paykan,,NO_GENERATIONS
Iran Khodro,Runna,,NO_GENERATIONS
Iran Khodro,Samand,,NO_GENERATIONS
Iran Khodro,Soren,,NO_GENERATIONS
Iran Khodro,Tara,,NO_GENERATIONS
JAC,J7,,NO_GENERATIONS
JAC,S2,,NO_GENERATIONS
JAC,S3,,NO_GENERATIONS
JAC,S4,,NO_GENERATIONS
JAC,S7,,NO_GENERATIONS
