source_row,variant_code,field,original_value,stored_value,reason
58,vmm-3d442b674004e0c85efa8631ae64bd391accf81a9f471eeef85d58a0cac37d21,power_hp,260.6,261,ROUNDED_FOR_INTEGER_STORAGE
66,vmm-02c1c7e7c4326a99219b264f3b339861b6bc8bbb73423e4cfe8c493c8a11e02f,power_hp,506.9,507,ROUNDED_FOR_INTEGER_STORAGE
356,vmm-518314828b742d43db55d3c0e62baf7e79b5dca26fc6895a2c563c54c45a9402,power_hp,112.5,113,ROUNDED_FOR_INTEGER_STORAGE
615,vmm-de7d819085407ad7871866ca5a7aebbfe6c55a58bc5322c422b236e0652f79a8,power_hp,572.8,573,ROUNDED_FOR_INTEGER_STORAGE
1150,vmm-6965b6eefcaea1c78c53ff3a6e613c53582bfca1abb5e142effb23b42799616c,power_hp,190150,,INVALID_OPTIONAL_POWER_SET_NULL
2237,vmm-aefc32fe856d8a59840a59dee77481f816799bc810e6fa0d72309d0660e96386,power_hp,312.7,313,ROUNDED_FOR_INTEGER_STORAGE
2547,vmm-fc9ff3bebd020dff5a6c387db6c6d2e3cb49aaae27b0f306a6c26ccab4a587e0,power_hp,333.1,333,ROUNDED_FOR_INTEGER_STORAGE
2725,vmm-9cf54fca1b203c7063a4d1c206bdcd7fe6a209acc15c4ffd01ded7cb8fbf102f,power_hp,390.3,390,ROUNDED_FOR_INTEGER_STORAGE
3024,vmm-297babdec626fdbd06d4e666ecf20c39d1ba1f49a05c50299e448af4c318dd7d,power_hp,84.3,84,ROUNDED_FOR_INTEGER_STORAGE
5173,vmm-38fac73fec5cbfc4f6794275031003678160f62c9c143d8fb9cae501fd76430d,power_hp,821.2,821,ROUNDED_FOR_INTEGER_STORAGE
5174,vmm-772441a4905955f047cef9df12dddb1dddeee9fedec079a6233fe41af7247e2c,power_hp,481.6,482,ROUNDED_FOR_INTEGER_STORAGE
5194,vmm-a4568bccf02205e5b2b027d963d760ae0f98c887e802ee567f1a36343cfe3c13,power_hp,162.2,162,ROUNDED_FOR_INTEGER_STORAGE
5195,vmm-f0933bca2a00dc4dab7a7b0dff1f7d894f25a2e4b10b541959d25266a9704e4c,power_hp,177.4,177,ROUNDED_FOR_INTEGER_STORAGE
5225,vmm-c8916dd7aa549774486829afd4ddd7028d0cffc2d078227a84c7cbe93bed45dc,power_hp,234.2,234,ROUNDED_FOR_INTEGER_STORAGE
5226,vmm-1bc86bc66e3f12df4f61d40532fc919f474e587a22101daeb53406386ea8519d,power_hp,213.9,214,ROUNDED_FOR_INTEGER_STORAGE
5227,vmm-abfa112669cf43d9be3b32bd106171267972a79b56e5b840ce1f91532a1064fe,power_hp,240.3,240,ROUNDED_FOR_INTEGER_STORAGE
5235,vmm-ebe3bfbccae9ca73b4baabc5e931a2d4dad0e8d11da3ae9556f2004059529d49,power_hp,255.5,256,ROUNDED_FOR_INTEGER_STORAGE
5236,vmm-77fac314f384f8e116308dd8a0cfda85343a82ad267b4a928be6d52ceeb4f573,power_hp,199.7,200,ROUNDED_FOR_INTEGER_STORAGE
5237,vmm-ac1bae267b78faad65e330c2b3761cbc0f30841450325892af4859a9283c3a49,power_hp,199.7,200,ROUNDED_FOR_INTEGER_STORAGE
5240,vmm-c2389ea4fe057d1c74802f8ca16105fe7cc2471bfc2305885d5d249175fbfd1d,power_hp,314.3,314,ROUNDED_FOR_INTEGER_STORAGE
5241,vmm-bfd225496a751c0e2a187114b571a83f13d079a592cec6bb765a48a8dc628913,power_hp,309.2,309,ROUNDED_FOR_INTEGER_STORAGE
5356,vmm-7bab8947f288eadbade6d1b8b0ad73e1be005b52b05e84e1553bc5c63ecc2a04,power_hp,240.3,240,ROUNDED_FOR_INTEGER_STORAGE
5358,vmm-7d46941217dcf1bbca15ab8e90435e5fd3fb05c08f601d6ec9e7c86d278e316c,power_hp,313.3,313,ROUNDED_FOR_INTEGER_STORAGE
5417,vmm-682103911b2f490c750d0c8e92e2333f3e0026772e108aa874a9b884bf4b950a,power_hp,278.8,279,ROUNDED_FOR_INTEGER_STORAGE
5427,vmm-000c9580ee35c8dad277c694a8076390d8986b7264308c1e66fb8979e9255147,power_hp,425.8,426,ROUNDED_FOR_INTEGER_STORAGE
5470,vmm-4dbe3cb3689f477152a6db0d12d278b0ee21b09b2d897e3526830fd45ff97b4b,power_hp,258.5,259,ROUNDED_FOR_INTEGER_STORAGE
5472,vmm-a1b8dc8d8d58dbbc4be67a455753c9196b1f4ecada198fb9a0c8ab1c72f94f61,power_hp,328.5,329,ROUNDED_FOR_INTEGER_STORAGE
5514,vmm-b50c9e783f71c43e2583bba4f13a823021bc0eacb859ecdaba7d9e5d943aa1ce,power_hp,136.9,137,ROUNDED_FOR_INTEGER_STORAGE
5609,vmm-4dd64939d3c39736ef63b961c3e3bd3960e0ccc02ed42fc98b8c4cd96c59591d,power_hp,195.7,196,ROUNDED_FOR_INTEGER_STORAGE
5610,vmm-d0d19d44db577ea8bf518d1830b804d840173720ddf95760464fa44d317e6ba6,power_hp,195.7,196,ROUNDED_FOR_INTEGER_STORAGE
5613,vmm-9aa49ca714a33ccb3de5e3e833ec844abafcc6c34580440eecfb06b0139a207c,power_hp,195.7,196,ROUNDED_FOR_INTEGER_STORAGE
5614,vmm-d6f26684bd9fb2b1d0fd71c04c967c6d54c0e3b0b5e22dc1bdf50c089b908afd,power_hp,195.7,196,ROUNDED_FOR_INTEGER_STORAGE
5675,vmm-fe6acb7fa99e4de389f71ac0c5701b07eeac7e057f222c52dd65d60bd743568b,power_hp,177.4,177,ROUNDED_FOR_INTEGER_STORAGE
5677,vmm-e87c37fe5269107b6810253c2befec743d8986b4adad5a2815e1eb9a187cfc5f,power_hp,177.4,177,ROUNDED_FOR_INTEGER_STORAGE
5690,vmm-e3492c58c3f43186e80fc7e075cb8ff5e5e65cac8f78ba7a81fdec53fd6b6a4a,power_hp,101.4,101,ROUNDED_FOR_INTEGER_STORAGE
5781,vmm-84068b881dc560310f3db31be1dfd098af6414c4a68122cbeb104fdeb33efa7d,power_hp,207.8,208,ROUNDED_FOR_INTEGER_STORAGE
5798,vmm-a8a786022a0b2f05e2420cd1ad3c4be0a4ce7634ea331af0e393178cc770d46e,power_hp,314.3,314,ROUNDED_FOR_INTEGER_STORAGE
5842,vmm-918de03366ece5873a6d49aaf620dc13c1d681cb3362d7803aa81dafaac83f89,power_hp,405.5,406,ROUNDED_FOR_INTEGER_STORAGE
5844,vmm-42c7ce3babacd343d5291c79588954cb20cd5f77474226a76c86b773d6d8969d,power_hp,405.5,406,ROUNDED_FOR_INTEGER_STORAGE
5862,vmm-3df610b4b7551092c2b1025aec8c403ba5be26a82c2ef787ed8d7bbf57f5dd87,power_hp,405.5,406,ROUNDED_FOR_INTEGER_STORAGE
5863,vmm-219cd474ecbe11f3168eab3151dac5f52360a37aa2819796bfd42fbf2ac212f7,power_hp,405.5,406,ROUNDED_FOR_INTEGER_STORAGE
5867,vmm-bfffad0c95ff53d8f7be9baca26fe4ebd88c1cc44bdab4bfba92765667433b23,power_hp,349.8,350,ROUNDED_FOR_INTEGER_STORAGE
5868,vmm-a30e29c77861847285517e8c56ab1981c1b238740ade45b0a1673cf7f226cb24,power_hp,354.9,355,ROUNDED_FOR_INTEGER_STORAGE
5869,vmm-82245d31c0a0525bf93f1867529fb24459ae40c105c909cf37c6301e15be84ec,power_hp,349.8,350,ROUNDED_FOR_INTEGER_STORAGE
5870,vmm-2f453012cac2a97582a55c79e0d223a775d5e211933fb0df8f8e0e153292cd02,power_hp,354.9,355,ROUNDED_FOR_INTEGER_STORAGE
