make,variants,variants_with_price
AC,7,0
Acura,118,102
Alfa Romeo,378,289
Alpine,20,12
Arcfox,6,6
Ariel,9,0
Aro,13,5
Artega,2,0
Aston Martin,104,0
Audi,2033,1868
Aurus,2,0
BAIC,1,1
BMW,2367,2198
BYD,15,15
Bentley,91,0
Borgward,1,1
Bristol,18,0
Bufori,5,0
Bugatti,16,0
Buick,99,93
Cadillac,195,188
Caterham,13,0
Chery,18,18
Chevrolet,781,704
Chrysler,155,142
Citroën,842,685
Cupra,51,51
DMC,3,0
DR,7,7
DS,81,81
Dacia,210,196
Daewoo,97,97
Daihatsu,59,48
Datsun,10,10
Dodge,266,177
Donkervoort,7,0
Eagle,14,13
FSO,16,10
Ferrari,139,0
Fiat,694,508
Fisker,4,4
Ford,1621,1419
GMC,206,205
GTA,1,0
Geely,9,9
Genesis,57,57
Gordon Murray Automotive,2,0
Hindustan,9,4
Holden,293,284
Honda,615,524
Hummer,12,12
Hyundai,793,777
Ineos,2,2
Infiniti,175,173
Isuzu,68,55
Jaguar,247,236
Jeep,239,217
KGM,22,22
KTM,4,0
Karma,2,2
Kia,601,601
Koenigsegg,13,0
Lada,35,25
Lamborghini,82,0
Lancia,206,132
Land Rover,236,225
Lexus,209,209
Lightyear,1,1
Lincoln,128,109
Lotus,77,53
Lucid,5,5
MG,96,96
MINI,272,272
Mahindra,10,10
Marussia,6,0
Maruti Suzuki,12,12
Maserati,88,72
Maybach,7,0
Mazda,493,456
McLaren,28,0
Mercedes-AMG,154,154
Mercedes-Benz,2246,1944
Mercury,33,33
Mitsubishi,353,302
Morgan,23,0
NIO,17,17
Nissan,707,641
Oldsmobile,19,12
Omoda,1,1
Opel,1291,1112
Pagani,11,0
Panoz,6,0
Perodua,24,24
Peugeot,982,920
Pininfarina,2,0
Plymouth,26,13
Polestar,13,13
Pontiac,130,93
Porsche,444,400
Proton,42,42
Qoros,10,10
Ram,133,133
Renault,1242,1078
Rimac,2,0
Rivian,7,7
Rolls-Royce,42,0
Rover,3,3
SEAT,608,603
Saab,286,277
Saleen,2,0
Samsung,7,7
Santana,5,5
Saturn,25,25
Scion,19,19
Smart,80,80
Spyker,6,0
SsangYong,83,83
Subaru,271,265
Suzuki,251,247
TVR,35,0
Tata,40,40
Tesla,44,44
Togg,6,6
Toyota,1047,1000
Vauxhall,390,390
VinFast,6,6
Volkswagen,1697,1563
Volvo,846,770
Wiesmann,11,0
XPeng,17,17
Xiaomi,1,1
Zeekr,12,12
Zenvo,5,0
Škoda,654,649
