work_code,IMPORTABLE,CONDITIONAL,NOT_APPLICABLE,QUOTE_REQUIRED
OIL_SERVICE,25734,20,707,3905
AIR_FILTER,25734,20,707,3905
CABIN_FILTER,26866,0,0,3500
FUEL_FILTER,8095,730,21008,533
BRAKE_FLUID,26866,0,0,3500
COOLANT,25718,36,707,3905
TIMING_BELT_PUMP,0,25754,707,3905
SPARK_PLUGS,16880,730,9220,3536
AUX_BELT,24587,1167,707,3905
MANUAL_GEARBOX_OIL,13400,434,14050,2482
AUTO_GEARBOX_OIL,0,12770,16520,1076
FRONT_BRAKES,26537,314,189,3326
REAR_BRAKES,22046,355,6053,1912
FRONT_DISCS_PADS,26537,314,189,3326
REAR_DISCS_PADS,22046,355,6053,1912
REAR_DRUM_SHOES,4458,355,23860,1693
AC_COMPRESSOR,24893,1973,0,3500
RADIATOR_FAN,26147,719,0,3500
AC_R134A,0,26866,0,3500
AC_R1234YF,0,26866,0,3500
BATTERY,24893,1973,0,3500
GLOW_PLUGS,8079,730,21008,549
DIAGNOSIS,18115,8751,0,3500
STARTER,24587,1167,707,3905
ALTERNATOR,24587,1167,707,3905
TURBO,10926,14245,2594,2601
EGR_VALVE,0,25754,707,3905
DPF_CLEAN,0,8988,21008,370
DPF_REPLACEMENT,0,8988,21008,370
DIESEL_INJECTOR,8095,730,21008,533
IGNITION_COIL,16929,730,9220,3487
WHEEL_BEARING,26866,0,0,3500
FRONT_SHOCKS,17397,9469,0,3500
REAR_SHOCKS,17397,9469,0,3500
CLUTCH_KIT,13325,509,14050,2482
CLUTCH_DMF,0,13834,14050,2482
WATER_PUMP,24571,1183,707,3905
THERMOSTAT,25718,36,707,3905
LAMBDA_SENSOR,17639,8115,707,3905
SCHEDULED_INSPECTION,0,0,0,30366
BRAKE_FLUID_CHECK,26866,0,0,3500
WIPER_REPLACE,26866,0,0,3500
TYRE_ROTATION,0,30366,0,0
TYRE_PRESSURE_CHECK,26866,0,0,3500
TYRE_MOUNT_BALANCE,26866,0,0,3500
TYRE_REPLACE_SET,0,0,0,30366
WHEEL_ALIGNMENT,26866,0,0,3500
AC_DISINFECTION,26866,0,0,3500
BATTERY_TEST,26866,0,0,3500
BRAKE_INSPECTION,26866,0,0,3500
BRAKE_CALIPER_CLEAN,0,30366,0,0
BODY_CORROSION_CHECK,26866,0,0,3500
HYBRID_BATTERY_FILTER,0,1319,29047,0
TRACTION_BATTERY_TEST,1762,209,28342,53
EV_DRIVE_FLUID,0,705,29661,0
DIFFERENTIAL_OIL,0,29633,733,0
TRANSFER_CASE_OIL,0,29633,733,0
ENGINE_OIL_LEAK_TEST,25856,0,733,3777
COOLING_PRESSURE_TEST,25840,47,733,3746
OIL_PAN_GASKET,25856,0,733,3777
VALVE_COVER_GASKET,25856,0,733,3777
ENGINE_MOUNT,25856,0,733,3777
ENGINE_REBUILD,0,0,733,29633
HEAD_GASKET,0,0,733,29633
TIMING_CHAIN,0,29633,733,0
AUX_TENSIONER,0,29633,733,0
RADIATOR,25840,47,733,3746
COOLANT_HOSE,25840,47,733,3746
MAF_SENSOR,0,29633,733,0
MAP_SENSOR,0,29633,733,0
CRANKSHAFT_SENSOR,0,29633,733,0
CAMSHAFT_SENSOR,0,29633,733,0
THROTTLE_BODY,0,29633,733,0
PETROL_INJECTOR,0,20301,10065,0
FUEL_PUMP,0,29633,733,0
HIGH_PRESSURE_PUMP,0,29633,733,0
DIESEL_INJECTOR_SEAL,0,8513,21853,0
GLOW_CONTROLLER,0,8513,21853,0
TURBO_HOSE,0,27746,2620,0
EXHAUST_MUFFLER,25856,0,733,3777
CATALYTIC_CONVERTER,0,29633,733,0
GPF_REPLACEMENT,0,20301,10065,0
DPF_PRESSURE_SENSOR,0,8513,21853,0
NOX_SENSOR,0,8513,21853,0
ADBLUE_PUMP,0,8513,21853,0
FRONT_CALIPER,26537,414,189,3226
REAR_CALIPER,0,24313,6053,0
BRAKE_HOSE,26866,0,0,3500
BRAKE_MASTER_CYLINDER,0,0,0,30366
ABS_SENSOR,0,30366,0,0
ABS_HYDRAULIC_UNIT,0,30366,0,0
PARKING_BRAKE_CABLE,0,30366,0,0
CONTROL_ARM,26866,0,0,3500
BALL_JOINT,0,30366,0,0
STABILIZER_LINK,26866,0,0,3500
STEERING_TIE_ROD,26866,0,0,3500
STEERING_RACK,0,0,0,30366
COIL_SPRINGS_AXLE,17397,11129,0,1840
STRUT_TOP_MOUNT,0,30366,0,0
CV_JOINT,0,30366,0,0
CV_BOOT,0,30366,0,0
TRANSMISSION_REBUILD,0,0,0,30366
WINDOW_REGULATOR,0,30366,0,0
WIPER_MOTOR,26866,0,0,3500
DOOR_LOCK_ACTUATOR,0,30366,0,0
BLOWER_MOTOR,26866,0,0,3500
BLOWER_CONTROLLER,0,30366,0,0
AC_CONDENSER,0,30366,0,0
WINDSCREEN_REPLACE,0,0,0,30366
ADAS_CALIBRATION,0,30366,0,0
HEADLAMP_UNIT,0,0,0,30366
TPMS_SENSOR,0,30366,0,0
HV_BATTERY_REPLACE,0,209,28342,1815
EV_DRIVE_UNIT,0,0,29661,705
ONBOARD_CHARGER,0,1151,28342,873
DC_DC_CONVERTER,0,209,28342,1815
CHARGE_PORT,0,1151,28342,873
HV_INVERTER,0,209,28342,1815
HV_ISOLATION_TEST,1762,209,28342,53
HV_COOLANT,0,705,29661,0
OTHER_MAINTENANCE,0,0,30366,0
OTHER_REPAIR,0,0,30366,0
