code,work_code,phrase,weight,active,basis
ac-ds1-ac-compressor-1,AC_COMPRESSOR,klima slabo hladi,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-ac-compressor-2,AC_COMPRESSOR,zvuk kompresora,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-ac-compressor-3,AC_COMPRESSOR,kompresor klime,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-radiator-fan-1,RADIATOR_FAN,ventilator ne radi,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-radiator-fan-2,RADIATOR_FAN,pregrijava u leru,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-radiator-fan-3,RADIATOR_FAN,temperatura raste u mjestu,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-battery-1,BATTERY,sporo vergla,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-battery-2,BATTERY,prazan akumulator,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-battery-3,BATTERY,svjetla oslabe pri paljenju,3,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-glow-plugs-1,GLOW_PLUGS,tesko pali hladan,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-glow-plugs-2,GLOW_PLUGS,lampica grijaca,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-glow-plugs-3,GLOW_PLUGS,tesko pali zimi,3,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-starter-1,STARTER,ne vergla,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-starter-2,STARTER,klik pri paljenju,3,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-starter-3,STARTER,elektropokretac,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-alternator-1,ALTERNATOR,lampica akumulatora,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-alternator-2,ALTERNATOR,ne puni akumulator,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-alternator-3,ALTERNATOR,slabo punjenje,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-turbo-1,TURBO,nema snage,2,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-turbo-2,TURBO,zvizdi pri ubrzanju,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-turbo-3,TURBO,gubi tlak turbine,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-egr-valve-1,EGR_VALVE,egr greska,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-egr-valve-2,EGR_VALVE,neravnomjeran ler,2,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-egr-valve-3,EGR_VALVE,trza na malim okretajima,3,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-dpf-clean-1,DPF_CLEAN,lampica dpf,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-dpf-clean-2,DPF_CLEAN,cesta regeneracija,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-dpf-clean-3,DPF_CLEAN,dpf zacepljen,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-diesel-injector-1,DIESEL_INJECTOR,korekcija dizni,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-diesel-injector-2,DIESEL_INJECTOR,lupanje dizne,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-diesel-injector-3,DIESEL_INJECTOR,neravnomjeran rad dizela,3,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-ignition-coil-1,IGNITION_COIL,preskace paljenje,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-ignition-coil-2,IGNITION_COIL,misfire,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-ignition-coil-3,IGNITION_COIL,radi na tri cilindra,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-wheel-bearing-1,WHEEL_BEARING,brujanje kotaca,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-wheel-bearing-2,WHEEL_BEARING,brujanje raste s brzinom,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-wheel-bearing-3,WHEEL_BEARING,zujanje u zavoju,3,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-front-brakes-1,FRONT_BRAKES,prednje kocnice skripe,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-front-brakes-2,FRONT_BRAKES,istrosene prednje plocice,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-front-brakes-3,FRONT_BRAKES,skripanje pri kocenju,2,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-rear-brakes-1,REAR_BRAKES,straznje kocnice skripe,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-rear-brakes-2,REAR_BRAKES,istrosene straznje plocice,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-rear-brakes-3,REAR_BRAKES,skripanje pri kocenju,2,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-front-discs-pads-1,FRONT_DISCS_PADS,volan trese pri kocenju,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-front-discs-pads-2,FRONT_DISCS_PADS,prednji diskovi,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-front-discs-pads-3,FRONT_DISCS_PADS,vibracije pri kocenju,2,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-rear-discs-pads-1,REAR_DISCS_PADS,straznji diskovi,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-rear-discs-pads-2,REAR_DISCS_PADS,straga trese pri kocenju,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-rear-discs-pads-3,REAR_DISCS_PADS,vibracije pri kocenju,2,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-clutch-kit-1,CLUTCH_KIT,spojka proklizava,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-clutch-kit-2,CLUTCH_KIT,kvacilo proklizava,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
