source_row,variant_code
6688,vmm-97064212fab2a3b42687b86e48bd635efbebecff8e96187b276f8cb4b574dea1
6689,vmm-13980fa5e790dbde67749d0244b29ebe30880f853c5175ab5f39fba8bbfd5041
6690,vmm-d2672d94922537ad585d42eaaa8236eda95523daf1e600d4ab726e9f0f5660c1
10652,vmm-2f0a4e1f3d255092434cb027f5581099846ea5efc21359a9dfa9a4b660fd3502
14447,vmm-8c467a41e3b0b28df15ef92ba1e02d785c140a14fe30650765030e049d0ca73c
14449,vmm-e1bee8075160eb009f2aa11207ed755d123ffe7005dca205ed1e9dcd9dc2ab31
14830,vmm-824714d4147095cd22753dd1a23c71d6dcca8ac8fc61b1f7f5b783c9035f3c17
14989,vmm-75a2b59e01f2730b1b0be514ec47877cc38482929a114957e48508b97a964f13
20213,vmm-95d639bf16d8d92ce2875e65aa3eee1177d73f9ff2158f3761b232a8fe73030d
20216,vmm-1ceeb13ee7fd8e80c49132f07ec0039b3453df0392729ed3bbda93a072d2e44e
23491,vmm-16494b658ef3b9c2d96da0133328f3a7374003d6432bb0640a6d2ce705ee99b2
23591,vmm-af3da64bb6c9ca7c1a71426da8e4c5c288dfc8d6b901fb037897c75817ec23b2
23909,vmm-51168397e226f5f58bd0b78f3cb32bf03221bf3bcfe1478d7dc3cda705f4da8a
24173,vmm-1ec2b87c04f380995f10eadc8ce8aaedcdb86ad31241c9efd4c5944c266c2f87
25514,vmm-e669ed74d3f0056da185076afe92c51c919a1d712f778d15971e76b48b05cb6b
26131,vmm-bab7e2ee0322dd204831a1f3d91127ad16909847ef827b0001d0aba5e703208d
28324,vmm-e2b4fb9f964d5841327a914d9612220bc3d72388bd29dae19cade50efa9664d4
28325,vmm-0a3ee6b1bbb6594f44781ab42b7b9510ac05e22be257f1e0885d90ef3c2cff6f
28328,vmm-4457cb95a87bc0552afcd58eb8023b2d09891ccb0d6835fb4b7d831f76177813
28329,vmm-741df81da3a0014a1219faf2362f9f5d9825304394f1860f80d4ff34b4baf4e2
28403,vmm-f59a00f9faedb4beacbef3ee05da6e16fb7a7212217561937f403c2e589c8994
29488,vmm-df0f95f9347ea4bcd57c0e7e8bd4dc68fff784cff5716fd19351358e863f3159
29489,vmm-703ea996a4107a307dd4047f455496bf4c39e3b1f86b51014a1ec9c390eb880d
29492,vmm-95d1d30b67948ed86c8a33b71f01a489a733915b27b0b7faef6cbd0e7f1a25e0
