variant_code,work_code,reason
vmm-f3392b26760acd356b3ba0c8beb2b41f4961744da3c1359d777dd7ea41080f41,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-528fa6f495e0717a670b09721c755bbc7e8d7555af3a1eeb8817c0d740e3440a,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-c901746b48feb04dd7eeb02045660b3cbe5d1588661198d8536d0024d28262ff,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-35f78122618bd7e1817aaa4238cdaa487f75d51382e6779b2e45897f331f9d64,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-a204bfeb16433103d27a1bac30f2e4f092817d9f2dd182f5571eb7dd89e7a8fc,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-0a36f5aa4c86e9993901f0b8a713575fd8dc5dba6518039a61f73093d7ed5891,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-0a36f5aa4c86e9993901f0b8a713575fd8dc5dba6518039a61f73093d7ed5891,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-c90459fb90603e242d1643f58f2b0ee54a65a15c46c6762b8e6b14bbe060b953,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-c90459fb90603e242d1643f58f2b0ee54a65a15c46c6762b8e6b14bbe060b953,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-fc707c8e42b75515bf10e081d6b3a8eb61b671aa9ec449d9b1b851f971fa4b1b,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-fc707c8e42b75515bf10e081d6b3a8eb61b671aa9ec449d9b1b851f971fa4b1b,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-d55caf634edfad03efa3553f1e849b503d070634c58bb78be37b6797428b1805,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-d55caf634edfad03efa3553f1e849b503d070634c58bb78be37b6797428b1805,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-b128383f03e9012bc317aaa9a3960ae6467905d7a545e4731ec23c2cc90f81a0,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-b128383f03e9012bc317aaa9a3960ae6467905d7a545e4731ec23c2cc90f81a0,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-c429297f349f7fa8ce027886fcc1e7f8b07a3ae1abf09a6f13ecd8e8ae14fc78,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-c429297f349f7fa8ce027886fcc1e7f8b07a3ae1abf09a6f13ecd8e8ae14fc78,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-3e6c09edad98f4776b3ac1a203c3e546cf00ef2e55c81de656824cd48d83643d,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-3e6c09edad98f4776b3ac1a203c3e546cf00ef2e55c81de656824cd48d83643d,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-078c07ce3efe0fc196e7e12c8033311d3c992e8dabbdc6487963d1a2bee4e622,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-078c07ce3efe0fc196e7e12c8033311d3c992e8dabbdc6487963d1a2bee4e622,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-f1971c21da9f8b6342140d908b3ba507560967fb338558b939e8fbe4c982f657,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-f1971c21da9f8b6342140d908b3ba507560967fb338558b939e8fbe4c982f657,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-066990b90721453f59e9ea5d4db6c7f3879c9d26fc9783ae5ca6812c1022d692,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-066990b90721453f59e9ea5d4db6c7f3879c9d26fc9783ae5ca6812c1022d692,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-f4bc831794f82a9fbde3398fbeed149d28b1ebb173eaf26472210f7a814e52a9,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-f4bc831794f82a9fbde3398fbeed149d28b1ebb173eaf26472210f7a814e52a9,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-6eba3c8038a480776105c9a6e45ff88e58d3f9603e58abf663e990d967799885,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-6eba3c8038a480776105c9a6e45ff88e58d3f9603e58abf663e990d967799885,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-aed613ea0392e7fb5f067d912f3b3107a9359761f34b07b9d7116abe2cdb0463,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-aed613ea0392e7fb5f067d912f3b3107a9359761f34b07b9d7116abe2cdb0463,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-1f4ff8c55dcb507961a811689bc06ee1966b7a8d01537b969cd2d2f45f673953,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-1f4ff8c55dcb507961a811689bc06ee1966b7a8d01537b969cd2d2f45f673953,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-4323ea600d7fb4f1fdff8dca73ade8ce2471c66966b51012d3372e645eda2f4b,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-4323ea600d7fb4f1fdff8dca73ade8ce2471c66966b51012d3372e645eda2f4b,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-358d62451992c0ab8e6a57f165833d7bdf4ca9c555d092209bc648bd4ac00332,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-358d62451992c0ab8e6a57f165833d7bdf4ca9c555d092209bc648bd4ac00332,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-00e01bd81cbf419b7c552e302e52b473dd4ddddce69e6b7b8b43222fd7c5bab0,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-00e01bd81cbf419b7c552e302e52b473dd4ddddce69e6b7b8b43222fd7c5bab0,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-f387b31b606cde91d3e5558bffa82a2e0672a60e453e1b319b3efde6b87e7189,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-f387b31b606cde91d3e5558bffa82a2e0672a60e453e1b319b3efde6b87e7189,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-270664ce6201c72d7562a978ff4046dd031d6cd239271071cc06b99692439e8c,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-270664ce6201c72d7562a978ff4046dd031d6cd239271071cc06b99692439e8c,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-78181a98e7368f4136fa485fe76547930b8bf3ef195f2cdf6fb172716c5917a8,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-78181a98e7368f4136fa485fe76547930b8bf3ef195f2cdf6fb172716c5917a8,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-fd9933014fe596e801951519b40b9c8ada04c6d5b6e77635c9ef7ee6f132a1db,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-fd9933014fe596e801951519b40b9c8ada04c6d5b6e77635c9ef7ee6f132a1db,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-f1918dc1f54a0e3d25ed911589f0d86989aa24f4501402aca6320e814e41a4e7,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-f1918dc1f54a0e3d25ed911589f0d86989aa24f4501402aca6320e814e41a4e7,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-f2dec73d58022ac9700eb9c52156c631732281b976763621243323c96b367225,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-f2dec73d58022ac9700eb9c52156c631732281b976763621243323c96b367225,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-e8e6f20744c5b1c907b9e860f762ae272bf3e80bb31137bfcf714a72e287e28b,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-e8e6f20744c5b1c907b9e860f762ae272bf3e80bb31137bfcf714a72e287e28b,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-070911fc3f6b01d94a8a88c9225896554fdd9d503309b262a8f001701fb5fe87,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-070911fc3f6b01d94a8a88c9225896554fdd9d503309b262a8f001701fb5fe87,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-c94b14075382e7ebe9d11b51b17561b88a0bc955676f6e7c593493f18c49fc1f,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-c94b14075382e7ebe9d11b51b17561b88a0bc955676f6e7c593493f18c49fc1f,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-fed275ba28f2999f204e06ef8af49575b7ab40687692e38796c11a28f0ec21b0,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-fed275ba28f2999f204e06ef8af49575b7ab40687692e38796c11a28f0ec21b0,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-57fe005b54914151f2c325ad7d377e3cb990bd2ee3cd5643380781e2cb46dea7,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-57fe005b54914151f2c325ad7d377e3cb990bd2ee3cd5643380781e2cb46dea7,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-541dd5779671facb4858ca07bb6a471ae1157d8bcd2378edcb7054c90113dfa2,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-541dd5779671facb4858ca07bb6a471ae1157d8bcd2378edcb7054c90113dfa2,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-d7d3ba49b99a0a4f29adac19ab5020a40c4a6da364a253426492316e1af6ba7d,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-af02e5e8bfcb34bfb7f423fc4f2a025b8e1ad6a320a3e05702b642a63625e86e,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-ca36640b3a383dbec42927175ef9fd295dbe3c0cea07f55f839b4ac4bc0a17da,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-6623f4ef8683ea1384ae5efd848f5c00d975b3fc7c3dd742e7e43253139606e1,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-6623f4ef8683ea1384ae5efd848f5c00d975b3fc7c3dd742e7e43253139606e1,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-65ab6e265c92dfe428220e1a6deda9f95b86d7d654f5c0949bd88120caba63fe,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-65ab6e265c92dfe428220e1a6deda9f95b86d7d654f5c0949bd88120caba63fe,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-b3347e77907c85a3c1afcba5bfeacfe987576cf2a63c0d16f320cac9b1bf7909,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-b3347e77907c85a3c1afcba5bfeacfe987576cf2a63c0d16f320cac9b1bf7909,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-df5abf393b7b31f40466ccde7c26abd98180d2b834b8c08b1ec94b5d4af0cc6c,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-df5abf393b7b31f40466ccde7c26abd98180d2b834b8c08b1ec94b5d4af0cc6c,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-cf4df609e3d404adc4d70686e75de0191891436e4fbf66230086e244a675fc5d,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-cf4df609e3d404adc4d70686e75de0191891436e4fbf66230086e244a675fc5d,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-1584a3a4124ad6e2fb009a55d800e284862bb4a3f949173f2933d7c53cf03390,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
vmm-1584a3a4124ad6e2fb009a55d800e284862bb4a3f949173f2933d7c53cf03390,TRANSFER_CASE_OIL,NO_TRANSFER_CASE_ON_EXPLICIT_TWO_WHEEL_DRIVE_VARIANT
vmm-f86fa3acd01ef13d07fb19a1c987277a837c2c9d947a607a21a3e8fdb3ac953a,DIFFERENTIAL_OIL,FWD_HAS_NO_SEPARATE_DIFFERENTIAL_SERVICE_IN_THIS_MODEL
