variant_code,work_code,interval_km,interval_months,interval_source,review_status,reviewer,reviewed_on
vmm-998cc47d299197a0919d5ca6333248a35bb44e84fe9881df350ab3fca92f47b0,BRAKE_FLUID,,24,OEM_MARKET_REFERENCE_DE | German-registered Kia; all models in table; confirm HR/VIN plan; source model-year/VIN is not the dataset production-year. https://eu-www.kia.com/content/dam/kwcms/kme/de/de/assets/contents/service/service-wartung/Kia_Wartungsintervalle-Fahrzeuge_Stand-2025-09.pdf,DRAFT_MARKET_AND_MODEL_YEAR_REVIEW,,
vmm-3b135e8db6d2f97fb4e3ce54a0ee6be533cb5f29b4b57abc393ef091a9f1d422,BRAKE_FLUID,,24,OEM_MARKET_REFERENCE_DE | German-registered Kia; all models in table; confirm HR/VIN plan; source model-year/VIN is not the dataset production-year. https://eu-www.kia.com/content/dam/kwcms/kme/de/de/assets/contents/service/service-wartung/Kia_Wartungsintervalle-Fahrzeuge_Stand-2025-09.pdf,DRAFT_MARKET_AND_MODEL_YEAR_REVIEW,,
vmm-df414e7920d721b0f189fc3cc88c0120ebeb6a87c31f4a4c29fc73767c25ceb8,BRAKE_FLUID,,24,OEM_MARKET_REFERENCE_DE | German-registered Kia; all models in table; confirm HR/VIN plan; source model-year/VIN is not the dataset production-year. https://eu-www.kia.com/content/dam/kwcms/kme/de/de/assets/contents/service/service-wartung/Kia_Wartungsintervalle-Fahrzeuge_Stand-2025-09.pdf,DRAFT_MARKET_AND_MODEL_YEAR_REVIEW,,
vmm-f3001b3737b6c1edc5fa7cb6b2aae4129b8707f4c9046515a3df96a06eadf82b,BRAKE_FLUID,,24,OEM_MARKET_REFERENCE_DE | German-registered Kia; all models in table; confirm HR/VIN plan; source model-year/VIN is not the dataset production-year. https://eu-www.kia.com/content/dam/kwcms/kme/de/de/assets/contents/service/service-wartung/Kia_Wartungsintervalle-Fahrzeuge_Stand-2025-09.pdf,DRAFT_MARKET_AND_MODEL_YEAR_REVIEW,,
vmm-1e534daccc2f263aa6b19c4df88df3e93d166773563554b2fac5663ac0f64c83,BRAKE_FLUID,,24,OEM_MARKET_REFERENCE_DE | German-registered Kia; all models in table; confirm HR/VIN plan; source model-year/VIN is not the dataset production-year. https://eu-www.kia.com/content/dam/kwcms/kme/de/de/assets/contents/service/service-wartung/Kia_Wartungsintervalle-Fahrzeuge_Stand-2025-09.pdf,DRAFT_MARKET_AND_MODEL_YEAR_REVIEW,,
vmm-126062e6bdf54a2bd5629902ec59484131ffe4f6229a7fbaac417e0557e183eb,BRAKE_FLUID,,24,OEM_MARKET_REFERENCE_DE | German-registered Kia; all models in table; confirm HR/VIN plan; source model-year/VIN is not the dataset production-year. https://eu-www.kia.com/content/dam/kwcms/kme/de/de/assets/contents/service/service-wartung/Kia_Wartungsintervalle-Fahrzeuge_Stand-2025-09.pdf,DRAFT_MARKET_AND_MODEL_YEAR_REVIEW,,
vmm-06635374041df2c9bab44574a7019e93c838d6b846cf47713837742684d4423d,BRAKE_FLUID,,24,OEM_MARKET_REFERENCE_DE | German-registered Kia; all models in table; confirm HR/VIN plan; source model-year/VIN is not the dataset production-year. https://eu-www.kia.com/content/dam/kwcms/kme/de/de/assets/contents/service/service-wartung/Kia_Wartungsintervalle-Fahrzeuge_Stand-2025-09.pdf,DRAFT_MARKET_AND_MODEL_YEAR_REVIEW,,
vmm-6191db341ebdd05eda97cfa564f71e975bb74e41725e6e3c487804514cbacbb3,BRAKE_FLUID,,24,OEM_MARKET_REFERENCE_DE | German-registered Kia; all models in table; confirm HR/VIN plan; source model-year/VIN is not the dataset production-year. https://eu-www.kia.com/content/dam/kwcms/kme/de/de/assets/contents/service/service-wartung/Kia_Wartungsintervalle-Fahrzeuge_Stand-2025-09.pdf,DRAFT_MARKET_AND_MODEL_YEAR_REVIEW,,
vmm-4d3904a480a35ef4b21b5f10d93242ce73a38c0da6700eb489d9ed914e344a15,BRAKE_FLUID,,24,OEM_MARKET_REFERENCE_DE | German-registered Kia; all models in table; confirm HR/VIN plan; source model-year/VIN is not the dataset production-year. https://eu-www.kia.com/content/dam/kwcms/kme/de/de/assets/contents/service/service-wartung/Kia_Wartungsintervalle-Fahrzeuge_Stand-2025-09.pdf,DRAFT_MARKET_AND_MODEL_YEAR_REVIEW,,
vmm-f3bb8ad32e452cf4a4959d5ed4134967ce1bdfa26afba6f833c138f6070c9976,BRAKE_FLUID,,24,OEM_MARKET_REFERENCE_DE | German-registered Kia; all models in table; confirm HR/VIN plan; source model-year/VIN is not the dataset production-year. https://eu-www.kia.com/content/dam/kwcms/kme/de/de/assets/contents/service/service-wartung/Kia_Wartungsintervalle-Fahrzeuge_Stand-2025-09.pdf,DRAFT_MARKET_AND_MODEL_YEAR_REVIEW,,
