source_row,variant_code,flags
2,vmm-f3392b26760acd356b3ba0c8beb2b41f4961744da3c1359d777dd7ea41080f41,EXOTIC_QUOTE_REQUIRED
3,vmm-528fa6f495e0717a670b09721c755bbc7e8d7555af3a1eeb8817c0d740e3440a,EXOTIC_QUOTE_REQUIRED
4,vmm-c901746b48feb04dd7eeb02045660b3cbe5d1588661198d8536d0024d28262ff,DISPLACEMENT_LABEL_CONFLICT;EXOTIC_QUOTE_REQUIRED
5,vmm-c87c89f660aaac1267ffff86f8ad1e1109ee84dc12fca8e209ff87c0604e718c,LEGACY_QUOTE_REQUIRED;EXOTIC_QUOTE_REQUIRED
6,vmm-873708a49331b77810189bad7f290e36fe33ae467f49b1f37648325222b0e4be,LEGACY_QUOTE_REQUIRED;EXOTIC_QUOTE_REQUIRED
7,vmm-35f78122618bd7e1817aaa4238cdaa487f75d51382e6779b2e45897f331f9d64,MASS_UNKNOWN_OR_OUTLIER;LEGACY_QUOTE_REQUIRED;EXOTIC_QUOTE_REQUIRED
8,vmm-a204bfeb16433103d27a1bac30f2e4f092817d9f2dd182f5571eb7dd89e7a8fc,MASS_UNKNOWN_OR_OUTLIER;LEGACY_QUOTE_REQUIRED;EXOTIC_QUOTE_REQUIRED
9,vmm-972da86b443d922ed49a7daa889e76750057a8e1ac1c037a3ed8710215f25047,MASS_UNKNOWN_OR_OUTLIER
16,vmm-addcf07a819d5b31d4ea9ccdc7b607227e0bbc9516169ddde27f300efd095c4d,MASS_UNKNOWN_OR_OUTLIER
18,vmm-3bdcad32e87f10177fe52beed30dc20d62ebbf933237771d5ef9377522e0bffb,MASS_UNKNOWN_OR_OUTLIER
26,vmm-078c07ce3efe0fc196e7e12c8033311d3c992e8dabbdc6487963d1a2bee4e622,HYBRID_COMBUSTION_FUEL_UNSPECIFIED
27,vmm-f1971c21da9f8b6342140d908b3ba507560967fb338558b939e8fbe4c982f657,DISPLACEMENT_UNKNOWN_OR_OUTLIER
28,vmm-c77abe6e69432e4de201aa45805b77243a643b6dc30d43a72a2a851ffb73f372,DISPLACEMENT_UNKNOWN_OR_OUTLIER;MASS_UNKNOWN_OR_OUTLIER
33,vmm-1f4ff8c55dcb507961a811689bc06ee1966b7a8d01537b969cd2d2f45f673953,LEGACY_QUOTE_REQUIRED
34,vmm-e5260df7403be4c163e9e8c40d7cb4f6c8e2aa23cb67e7f29d0c0607ef2d042b,LEGACY_QUOTE_REQUIRED
40,vmm-564277c8eedd2c4d9dfbbdbec8f14645d3c3cf6f6efa6c83bd3084e0199d50d6,LEGACY_QUOTE_REQUIRED
41,vmm-de2cfdcf48e7b64b8d4e1c58fbe25df5270b7fac5d6ff259cee61ff674c20784,LEGACY_QUOTE_REQUIRED
43,vmm-78181a98e7368f4136fa485fe76547930b8bf3ef195f2cdf6fb172716c5917a8,LEGACY_QUOTE_REQUIRED
44,vmm-fd9933014fe596e801951519b40b9c8ada04c6d5b6e77635c9ef7ee6f132a1db,LEGACY_QUOTE_REQUIRED
45,vmm-f1918dc1f54a0e3d25ed911589f0d86989aa24f4501402aca6320e814e41a4e7,LEGACY_QUOTE_REQUIRED
46,vmm-f2dec73d58022ac9700eb9c52156c631732281b976763621243323c96b367225,LEGACY_QUOTE_REQUIRED
48,vmm-e8e6f20744c5b1c907b9e860f762ae272bf3e80bb31137bfcf714a72e287e28b,LEGACY_QUOTE_REQUIRED
49,vmm-070911fc3f6b01d94a8a88c9225896554fdd9d503309b262a8f001701fb5fe87,LEGACY_QUOTE_REQUIRED
51,vmm-a31b35f58ec2bad68654b3e3d10ca911a6c0219d4cad16c366e344813a3b8dfc,DISPLACEMENT_UNKNOWN_OR_OUTLIER
52,vmm-c94b14075382e7ebe9d11b51b17561b88a0bc955676f6e7c593493f18c49fc1f,DISPLACEMENT_UNKNOWN_OR_OUTLIER
55,vmm-a46b99425e43ff41f7ac1427a52b5382674ca55aa9e255a8c7fd45d1523a50e2,HYBRID_COMBUSTION_FUEL_UNSPECIFIED
58,vmm-3d442b674004e0c85efa8631ae64bd391accf81a9f471eeef85d58a0cac37d21,HYBRID_COMBUSTION_FUEL_UNSPECIFIED;ROUNDED_FOR_INTEGER_STORAGE
66,vmm-02c1c7e7c4326a99219b264f3b339861b6bc8bbb73423e4cfe8c493c8a11e02f,HYBRID_COMBUSTION_FUEL_UNSPECIFIED;EXOTIC_QUOTE_REQUIRED;ROUNDED_FOR_INTEGER_STORAGE
67,vmm-93d2553db3c78c43bd73e1ec52c537f5c1718beb8e6739ef22e01747d936dc07,EXOTIC_QUOTE_REQUIRED
68,vmm-65f6a16138b58651b1fc87f966d1fe30e792641ac6336070ab986c7b31f0bd7c,POWER_LABEL_CONFLICT;EXOTIC_QUOTE_REQUIRED
69,vmm-d7d3ba49b99a0a4f29adac19ab5020a40c4a6da364a253426492316e1af6ba7d,EXOTIC_QUOTE_REQUIRED
70,vmm-af02e5e8bfcb34bfb7f423fc4f2a025b8e1ad6a320a3e05702b642a63625e86e,EXOTIC_QUOTE_REQUIRED
71,vmm-ca36640b3a383dbec42927175ef9fd295dbe3c0cea07f55f839b4ac4bc0a17da,EXOTIC_QUOTE_REQUIRED
74,vmm-3fc3f5d5af712b9aadb76a0289d75e99bff81b7d26bb383c5f77c70d64463450,MASS_UNKNOWN_OR_OUTLIER;POWER_LABEL_CONFLICT
75,vmm-67d246379aace5ce67536f2621ce5846f10eb49fa394db3e68150ac8e16a077f,MASS_UNKNOWN_OR_OUTLIER
85,vmm-74cee5be898a713cbd432b5db6cd482a40813aab6f22c31d44a58d20615035f7,HYBRID_COMBUSTION_FUEL_UNSPECIFIED
87,vmm-ee2d402fa89a5b08ae12326190a8c8da1fa15be1ee89e867891053e299769b08,HYBRID_COMBUSTION_FUEL_UNSPECIFIED
89,vmm-df5abf393b7b31f40466ccde7c26abd98180d2b834b8c08b1ec94b5d4af0cc6c,MASS_UNKNOWN_OR_OUTLIER
111,vmm-bd912f6399d3a7bbaeaa49a80b26dc50cfbfffc7408f5200b623b35af01e93db,DISPLACEMENT_UNKNOWN_OR_OUTLIER;MASS_UNKNOWN_OR_OUTLIER
112,vmm-4dd478ab443f73ee0735b496bddfa10e8a9618c5ad86286528ff9b933a9ab061,DISPLACEMENT_UNKNOWN_OR_OUTLIER;MASS_UNKNOWN_OR_OUTLIER
113,vmm-deadd09023c77e10c02042c5650cc0424accf2f18d067e826b4df71516654990,DISPLACEMENT_UNKNOWN_OR_OUTLIER;MASS_UNKNOWN_OR_OUTLIER;POWER_UNKNOWN_OR_OUTLIER
114,vmm-1836bd77264562b780666884aa86b7e13eb240bdc4a4b7ae1060ef25ea364a63,DISPLACEMENT_UNKNOWN_OR_OUTLIER;MASS_UNKNOWN_OR_OUTLIER
124,vmm-e4c2d566139b8c4e34ae7904c8559afc30bc10e09309880adfb86bdd6bba58c6,MASS_UNKNOWN_OR_OUTLIER
125,vmm-48fcf725767e514bdd585a7452ed51682b320b1bf6cd31f06746a4a9406d6faa,MASS_UNKNOWN_OR_OUTLIER
273,vmm-4f1e203885d6fa831aac02caeee2a1d1d45b631c45d5266f27193c411b5f9176,TRANSMISSION_LABEL_CONFLICT
294,vmm-5dbdc80be61f2b574491d226a47c2bc317a045baacc86387f08650a9b0a3ad71,LEGACY_QUOTE_REQUIRED
295,vmm-6966f2da38532b99be9d599f7dd56e91def515bcb5f223d9f96044dc8d0f08d8,LEGACY_QUOTE_REQUIRED
296,vmm-4ecc27f5f43aaf2441aec1ac653ab3fb8302cde220a360187f1834343a330f26,LEGACY_QUOTE_REQUIRED
297,vmm-f80ad33325628b166701104e08b694b2727eb83413593acbfe2c3cb371abf7fc,LEGACY_QUOTE_REQUIRED
298,vmm-6fc858561ee4386a8a990d9e1d051490348963d579bdb0c2b56aa204c0137180,LEGACY_QUOTE_REQUIRED
299,vmm-2e7104f3d98a7588d58cfb40fa06b7e89954c84fb8fce31565f2e5203e1fb799,LEGACY_QUOTE_REQUIRED
300,vmm-b0c833389bcff94f834016d734276635b14374b355ffa11e931c809e8f3bd5c5,MASS_UNKNOWN_OR_OUTLIER;LEGACY_QUOTE_REQUIRED
301,vmm-9db80d52858eea0aef8ae6ce3526dfe81ba81c57015674056fd0870ee15a6200,LEGACY_QUOTE_REQUIRED
302,vmm-1e0f09cc02319a3e71ce077ce0b5a28cd46b690217a166aac0c83220af3aa604,MASS_UNKNOWN_OR_OUTLIER;LEGACY_QUOTE_REQUIRED
303,vmm-58aeaf3021101c1d981abf90a44c3e0b8355569fb47db64e8dec390b9632b68c,LEGACY_QUOTE_REQUIRED
304,vmm-bca8516c7d1d3d6c319cf566d3bc0f4322f3cdbf0c86b35c627b223848d6cfda,LEGACY_QUOTE_REQUIRED
305,vmm-197cdf950da3943dcf37626ba56bb2952a4493550a7be7a9e38d5eac0d6472f0,LEGACY_QUOTE_REQUIRED
306,vmm-09af560de3331bb77ff156f68235190698b22af31eb39db8252e653374499dcc,LEGACY_QUOTE_REQUIRED
307,vmm-247878458f61a31fd6ebe21c32fb042ac1ebd69f760c52487f96e9a66debe84e,LEGACY_QUOTE_REQUIRED
308,vmm-fa8bb6ed1b9d9d2c856dd5b56493ff3b3808d441cbe6ee9fd11a0a029a176bb7,LEGACY_QUOTE_REQUIRED
309,vmm-206d5985ea0ef5e69d5bf21d999c0b536086b1a2a62436ea9a2d47d2cf94aea0,LEGACY_QUOTE_REQUIRED
310,vmm-3eead1c98cd5b647fd37659de91e990fb954a14007728d6e31402c6f72b6a859,LEGACY_QUOTE_REQUIRED
311,vmm-755b618ff2ccff65c7e0f21c5335056763614f02b5d1db49944777c1d43cd99f,LEGACY_QUOTE_REQUIRED
312,vmm-2c58e7e02fb6d538a7597745aac55c714974fb16f760c109885b594a9476441e,LEGACY_QUOTE_REQUIRED
313,vmm-0bef00b4aa3911907587cac7ea458a328534d7e00c968cda6a434bcf4ba174b5,LEGACY_QUOTE_REQUIRED
