variant_code,work_code,interval_km,interval_months,interval_source
vmm-cdb469302ad3726074c444585ee3f8b63171c9b001769785fc93ac8fc2964847,CABIN_FILTER,,24,"OEM_MODEL_REFERENCE | Model 3 current EU manual; normal use; brake CHECK, not replacement. https://www.tesla.com/ownersmanual/model3/en_eu/GUID-E95DAAD9-646E-4249-9930-B109ED7B1D91.html"
vmm-cdb469302ad3726074c444585ee3f8b63171c9b001769785fc93ac8fc2964847,BRAKE_FLUID_CHECK,,48,"OEM_MODEL_REFERENCE | Model 3 current EU manual; normal use; brake CHECK, not replacement. https://www.tesla.com/ownersmanual/model3/en_eu/GUID-E95DAAD9-646E-4249-9930-B109ED7B1D91.html"
vmm-cdb469302ad3726074c444585ee3f8b63171c9b001769785fc93ac8fc2964847,WIPER_REPLACE,,12,"OEM_MODEL_REFERENCE | Model 3 current EU manual; normal use; brake CHECK, not replacement. https://www.tesla.com/ownersmanual/model3/en_eu/GUID-E95DAAD9-646E-4249-9930-B109ED7B1D91.html"
vmm-ceac8661d40a7f308d6ae245ec4ca3f15cad3dda4b45ca11167376b1164e9281,CABIN_FILTER,,24,"OEM_MODEL_REFERENCE | Model 3 current EU manual; normal use; brake CHECK, not replacement. https://www.tesla.com/ownersmanual/model3/en_eu/GUID-E95DAAD9-646E-4249-9930-B109ED7B1D91.html"
vmm-ceac8661d40a7f308d6ae245ec4ca3f15cad3dda4b45ca11167376b1164e9281,BRAKE_FLUID_CHECK,,48,"OEM_MODEL_REFERENCE | Model 3 current EU manual; normal use; brake CHECK, not replacement. https://www.tesla.com/ownersmanual/model3/en_eu/GUID-E95DAAD9-646E-4249-9930-B109ED7B1D91.html"
vmm-ceac8661d40a7f308d6ae245ec4ca3f15cad3dda4b45ca11167376b1164e9281,WIPER_REPLACE,,12,"OEM_MODEL_REFERENCE | Model 3 current EU manual; normal use; brake CHECK, not replacement. https://www.tesla.com/ownersmanual/model3/en_eu/GUID-E95DAAD9-646E-4249-9930-B109ED7B1D91.html"
vmm-af255b421ddace8aa09ae583ba8c2a5eb1fd6f7a1862ff121284c01800cbe7b2,OIL_SERVICE,15000,12,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf
vmm-af255b421ddace8aa09ae583ba8c2a5eb1fd6f7a1862ff121284c01800cbe7b2,BRAKE_FLUID,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf
vmm-af255b421ddace8aa09ae583ba8c2a5eb1fd6f7a1862ff121284c01800cbe7b2,AIR_FILTER,60000,48,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf
vmm-af255b421ddace8aa09ae583ba8c2a5eb1fd6f7a1862ff121284c01800cbe7b2,CABIN_FILTER,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf
vmm-e235095d7ffa32c3a93df6bff82037613add080c113d90eb60a3093eb5ddc9db,OIL_SERVICE,15000,12,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf
vmm-e235095d7ffa32c3a93df6bff82037613add080c113d90eb60a3093eb5ddc9db,BRAKE_FLUID,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf
vmm-e235095d7ffa32c3a93df6bff82037613add080c113d90eb60a3093eb5ddc9db,AIR_FILTER,60000,48,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf
vmm-e235095d7ffa32c3a93df6bff82037613add080c113d90eb60a3093eb5ddc9db,CABIN_FILTER,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf
vmm-071ef82ca3d885f82e594f5df8f8e0212994189e82cb33c1d8d3ae97525d4b0d,OIL_SERVICE,15000,12,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf
vmm-071ef82ca3d885f82e594f5df8f8e0212994189e82cb33c1d8d3ae97525d4b0d,BRAKE_FLUID,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf
vmm-071ef82ca3d885f82e594f5df8f8e0212994189e82cb33c1d8d3ae97525d4b0d,AIR_FILTER,60000,48,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf
vmm-071ef82ca3d885f82e594f5df8f8e0212994189e82cb33c1d8d3ae97525d4b0d,CABIN_FILTER,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf
