variant_code,work_code,reason
vmm-cdb469302ad3726074c444585ee3f8b63171c9b001769785fc93ac8fc2964847,TYRE_ROTATION,"Manual: 10000 km OR tread-depth difference >=1.5 mm. Staggered sizes/tyres need checking. Conditional, not silently a complete fixed-only rule."
vmm-ceac8661d40a7f308d6ae245ec4ca3f15cad3dda4b45ca11167376b1164e9281,TYRE_ROTATION,"Manual: 10000 km OR tread-depth difference >=1.5 mm. Staggered sizes/tyres need checking. Conditional, not silently a complete fixed-only rule."
vmm-c01f9abd07ba88852b1d8967301be704cdde309b4e4070e8de7e3e233b4efa9c,TYRE_ROTATION,"Manual: 10000 km OR tread-depth difference >=1.5 mm. Staggered sizes/tyres need checking. Conditional, not silently a complete fixed-only rule."
vmm-f34abcefd245cf7da30307cff4e266d4cadb92b3c81acb1e6229f8bb627e69ce,TYRE_ROTATION,"Manual: 10000 km OR tread-depth difference >=1.5 mm. Staggered sizes/tyres need checking. Conditional, not silently a complete fixed-only rule."
vmm-4f01e735f421bdd42442958b79d7d0b5c1477f980eb1f5d094b22af4982cc3af,TYRE_ROTATION,"Manual: 10000 km OR tread-depth difference >=1.5 mm. Staggered sizes/tyres need checking. Conditional, not silently a complete fixed-only rule."
vmm-efa2f8b7dc9756316631d5d3e726a5358c521c067a37dfed77e4388c19c78e2b,TYRE_ROTATION,"Manual: 10000 km OR tread-depth difference >=1.5 mm. Staggered sizes/tyres need checking. Conditional, not silently a complete fixed-only rule."
vmm-fdbf22d6bb04c576c1ae18b7fd72c2d1052f42027866f9dc13ae60a0de417ce2,TYRE_ROTATION,"Manual: 10000 km OR tread-depth difference >=1.5 mm. Staggered sizes/tyres need checking. Conditional, not silently a complete fixed-only rule."
vmm-cb0d456b7d6170cb4b8bd5c23ad52d87841567c538312c2e29ccb06b2e921aab,TYRE_ROTATION,"Manual: 10000 km OR tread-depth difference >=1.5 mm. Staggered sizes/tyres need checking. Conditional, not silently a complete fixed-only rule."
vmm-2ddfa6499300fdbd60825c174c91a4e8d145b7458d7a230ff680884f27cb9dce,TYRE_ROTATION,"Manual: 10000 km OR tread-depth difference >=1.5 mm. Staggered sizes/tyres need checking. Conditional, not silently a complete fixed-only rule."
vmm-7226d419c14f87283cd17de536fba944d6d6d7e84566968d1f3c183c9748d46e,TYRE_ROTATION,"Manual: 10000 km OR tread-depth difference >=1.5 mm. Staggered sizes/tyres need checking. Conditional, not silently a complete fixed-only rule."
vmm-96436f2ba2c3b3173171bab6823a4fd717cfdf17c1edcfe94a66d68eae94cf8a,TYRE_ROTATION,"Manual: 10000 km OR tread-depth difference >=1.5 mm. Staggered sizes/tyres need checking. Conditional, not silently a complete fixed-only rule."
vmm-e6fc65f3c550041146f9e1fa6905ca3dda39a6578b57c5ed7176f1358a1fb0f3,TYRE_ROTATION,"Manual: 10000 km OR tread-depth difference >=1.5 mm. Staggered sizes/tyres need checking. Conditional, not silently a complete fixed-only rule."
vmm-af255b421ddace8aa09ae583ba8c2a5eb1fd6f7a1862ff121284c01800cbe7b2,COOLANT,First change shown at 150000 km/120 months; repeating interval not established by this 10-year table. Do not insert as a repeating plan.
vmm-e235095d7ffa32c3a93df6bff82037613add080c113d90eb60a3093eb5ddc9db,COOLANT,First change shown at 150000 km/120 months; repeating interval not established by this 10-year table. Do not insert as a repeating plan.
vmm-071ef82ca3d885f82e594f5df8f8e0212994189e82cb33c1d8d3ae97525d4b0d,COOLANT,First change shown at 150000 km/120 months; repeating interval not established by this 10-year table. Do not insert as a repeating plan.
vmm-65ab1b9742930c94b6f34865812965b630b141ed1186381dc42e6ffe2e2d9ef5,COOLANT,First change shown at 150000 km/120 months; repeating interval not established by this 10-year table. Do not insert as a repeating plan.
vmm-d8cf3a82b340e84b4ebfbb145cb2c6fc5101235d47853be2fe72d6556a728d34,COOLANT,First change shown at 150000 km/120 months; repeating interval not established by this 10-year table. Do not insert as a repeating plan.
vmm-55ce6ca3a0293da6d9c514453a070a89744a851eb314f211448e7b57903cb799,COOLANT,First change shown at 150000 km/120 months; repeating interval not established by this 10-year table. Do not insert as a repeating plan.
vmm-8daa7e8c28b673e3f06b6c0f2a2a161b4b5563d236ac6baf5e3f2cde9c6bc4fa,COOLANT,First change shown at 150000 km/120 months; repeating interval not established by this 10-year table. Do not insert as a repeating plan.
