variant_code,source_row,make,model,generation,engine_label,year_from,year_to,fuel_class,is_hybrid,displacement_cc,cylinders,cylinder_layout,power_hp,torque_nm,mass_kg,transmission_class,turbo,front_brake,rear_brake,fuel_system_raw,front_brake_raw,rear_brake_raw,body_inferred,tier,flags
vmm-f3392b26760acd356b3ba0c8beb2b41f4961744da3c1359d777dd7ea41080f41,2,AC,Ace,Ace (1993),4.9L V8 4AT RWD (260 HP),1993,1996,PETROL,False,4942,8,V,260,434,1440,AUTOMATIC_UNSPECIFIED,NO,DISC,DISC,Multipoint Injection Naturally aspirated,Ventilated Discs,Ventilated discs,,EXOTIC,EXOTIC_QUOTE_REQUIRED
vmm-528fa6f495e0717a670b09721c755bbc7e8d7555af3a1eeb8817c0d740e3440a,3,AC,Aceca,Aceca (1998),3.5L V8 32V Turbo 6MT RWD (354 HP),1998,2000,PETROL,False,3506,8,V,350,407,1615,MANUAL,NO,DISC,DISC,Multipoint Injection Naturally aspirated,Ventilated Discs,Ventilated discs,,EXOTIC,EXOTIC_QUOTE_REQUIRED
vmm-c901746b48feb04dd7eeb02045660b3cbe5d1588661198d8536d0024d28262ff,4,AC,Aceca,Aceca (1998),4.6L V8 5MT RWD (326 HP),1998,2000,PETROL,False,3506,8,V,350,407,1615,MANUAL,NO,DISC,DISC,Multipoint Injection Naturally aspirated,Ventilated Discs,Ventilated discs,,EXOTIC,DISPLACEMENT_LABEL_CONFLICT;EXOTIC_QUOTE_REQUIRED
vmm-c87c89f660aaac1267ffff86f8ad1e1109ee84dc12fca8e209ff87c0604e718c,5,AC,Frua,Frua Convertible (1966),7.0L V8 3AT (350 HP),1966,1971,PETROL,False,7017,8,V,350,626,1426,AUTOMATIC_UNSPECIFIED,NO,DISC,DISC,Carburetor,Discs,Discs,CABRIO,EXOTIC,LEGACY_QUOTE_REQUIRED;EXOTIC_QUOTE_REQUIRED
vmm-873708a49331b77810189bad7f290e36fe33ae467f49b1f37648325222b0e4be,6,AC,Frua,Frua Convertible (1966),7.0L V8 4MT (350 HP),1966,1971,PETROL,False,7017,8,V,350,626,1426,MANUAL,NO,DISC,DISC,Carburetor,Discs,Discs,CABRIO,EXOTIC,LEGACY_QUOTE_REQUIRED;EXOTIC_QUOTE_REQUIRED
vmm-35f78122618bd7e1817aaa4238cdaa487f75d51382e6779b2e45897f331f9d64,7,AC,Frua,Frua Coupe (1966),7.0L V8 3AT RWD (350 HP),1966,1973,PETROL,False,7017,8,V,350,626,,AUTOMATIC_UNSPECIFIED,NO,DISC,DISC,Carburetor,Discs,Discs,COUPE,EXOTIC,MASS_UNKNOWN_OR_OUTLIER;LEGACY_QUOTE_REQUIRED;EXOTIC_QUOTE_REQUIRED
vmm-a204bfeb16433103d27a1bac30f2e4f092817d9f2dd182f5571eb7dd89e7a8fc,8,AC,Frua,Frua Coupe (1966),7.0L V8 4MT RWD (350 HP),1966,1973,PETROL,False,7017,8,V,350,626,,MANUAL,NO,DISC,DISC,Carburetor,Discs,Discs,COUPE,EXOTIC,MASS_UNKNOWN_OR_OUTLIER;LEGACY_QUOTE_REQUIRED;EXOTIC_QUOTE_REQUIRED
vmm-972da86b443d922ed49a7daa889e76750057a8e1ac1c037a3ed8710215f25047,9,Acura,ADX,ADX (2024),1.5L VTEC CVT AWD (190 HP),2024,,PETROL,False,1498,4,OTHER,190,243,,CVT,YES,DISC,DISC,Turbocharged Direct Injection,Ventilated discs,Ventilated discs,,PREMIUM,MASS_UNKNOWN_OR_OUTLIER
vmm-0a36f5aa4c86e9993901f0b8a713575fd8dc5dba6518039a61f73093d7ed5891,10,Acura,CL,CL (2001),3.2L 5AT FWD (225 HP),2001,2004,PETROL,False,3210,6,V,228,294,1574,AUTOMATIC_UNSPECIFIED,UNKNOWN,DISC,DISC,Electronic Injection,Ventilated Discs,Discs,,PREMIUM,
vmm-c90459fb90603e242d1643f58f2b0ee54a65a15c46c6762b8e6b14bbe060b953,11,Acura,CL,CL (2001),Type S 3.2L V6 5AT FWD (263 HP),2001,2004,PETROL,False,3210,6,V,260,315,1592,AUTOMATIC_UNSPECIFIED,UNKNOWN,DISC,DISC,Electronic Injection,Ventilated Discs,Discs,,PREMIUM,
