variant_code,make,model,generation,engine_label,work_code,work_name,estimated_price_eur,state,reason
vmm-33ae0fb87622d065c307707b3f145c319d367429d14fc06c1096b38363999989,Renault,Megane,Megane 5 Doors (2015),1.5L dCi 6MT FWD (90 HP),OIL_SERVICE,Motorno ulje i filtar ulja - kompletna izmjena,110.00,IMPORTABLE,SUPPORTED_PLANNING_SCENARIO
vmm-33ae0fb87622d065c307707b3f145c319d367429d14fc06c1096b38363999989,Renault,Megane,Megane 5 Doors (2015),1.5L dCi 6MT FWD (90 HP),AIR_FILTER,Zamjena filtra zraka motora,40.00,IMPORTABLE,SUPPORTED_PLANNING_SCENARIO
vmm-33ae0fb87622d065c307707b3f145c319d367429d14fc06c1096b38363999989,Renault,Megane,Megane 5 Doors (2015),1.5L dCi 6MT FWD (90 HP),CABIN_FILTER,Zamjena filtra kabine,40.00,IMPORTABLE,ASSUMES_STANDARD_FACTORY_CABIN_FILTER_NOT_SPECIAL_HEPA
vmm-33ae0fb87622d065c307707b3f145c319d367429d14fc06c1096b38363999989,Renault,Megane,Megane 5 Doors (2015),1.5L dCi 6MT FWD (90 HP),FUEL_FILTER,Zamjena filtra goriva,90.00,IMPORTABLE,SUPPORTED_PLANNING_SCENARIO
vmm-33ae0fb87622d065c307707b3f145c319d367429d14fc06c1096b38363999989,Renault,Megane,Megane 5 Doors (2015),1.5L dCi 6MT FWD (90 HP),BRAKE_FLUID,Izmjena kočione tekućine,60.00,IMPORTABLE,SUPPORTED_PLANNING_SCENARIO
vmm-33ae0fb87622d065c307707b3f145c319d367429d14fc06c1096b38363999989,Renault,Megane,Megane 5 Doors (2015),1.5L dCi 6MT FWD (90 HP),COOLANT,Izmjena rashladne tekućine motora,90.00,IMPORTABLE,ASSUMES_CONVENTIONAL_LIQUID_COOLED_ENGINE
vmm-33ae0fb87622d065c307707b3f145c319d367429d14fc06c1096b38363999989,Renault,Megane,Megane 5 Doors (2015),1.5L dCi 6MT FWD (90 HP),TIMING_BELT_PUMP,"Zupčasti remen, natezači i vodena pumpa",470.00,CONDITIONAL,BELT_VS_CHAIN_AND_PUMP_DRIVE_NOT_IN_SOURCE
vmm-33ae0fb87622d065c307707b3f145c319d367429d14fc06c1096b38363999989,Renault,Megane,Megane 5 Doors (2015),1.5L dCi 6MT FWD (90 HP),SPARK_PLUGS,Zamjena kompleta svjećica,,NOT_APPLICABLE,NOT_SPARK_IGNITION
vmm-33ae0fb87622d065c307707b3f145c319d367429d14fc06c1096b38363999989,Renault,Megane,Megane 5 Doors (2015),1.5L dCi 6MT FWD (90 HP),AUX_BELT,Pomoćni remen i natezač,140.00,IMPORTABLE,SUPPORTED_PLANNING_SCENARIO
vmm-33ae0fb87622d065c307707b3f145c319d367429d14fc06c1096b38363999989,Renault,Megane,Megane 5 Doors (2015),1.5L dCi 6MT FWD (90 HP),MANUAL_GEARBOX_OIL,Izmjena ulja ručnog mjenjača,100.00,IMPORTABLE,SUPPORTED_PLANNING_SCENARIO
vmm-33ae0fb87622d065c307707b3f145c319d367429d14fc06c1096b38363999989,Renault,Megane,Megane 5 Doors (2015),1.5L dCi 6MT FWD (90 HP),AUTO_GEARBOX_OIL,Servis ulja automatskog mjenjača,,NOT_APPLICABLE,NOT_AUTOMATIC_FLUID_SERVICE
vmm-33ae0fb87622d065c307707b3f145c319d367429d14fc06c1096b38363999989,Renault,Megane,Megane 5 Doors (2015),1.5L dCi 6MT FWD (90 HP),FRONT_BRAKES,Prednje kočione pločice - par kotača,120.00,IMPORTABLE,SUPPORTED_PLANNING_SCENARIO
